"","municipio","seccion","casilla","tipo_casilla","padron_electoral","listado_nominal","clasificacion","estrato"
"22","2. MEXICALI","02_0379","URBANA","C1",558,557,"indefinidos","2. MEXICALI URBANA indefinidos"
"23","2. MEXICALI","02_0380","URBANA","B1",383,383,"indefinidos","2. MEXICALI URBANA indefinidos"
"24","2. MEXICALI","02_0380","URBANA","C1",383,382,"indefinidos","2. MEXICALI URBANA indefinidos"
"25","2. MEXICALI","02_0381","URBANA","B1",501,500,"morenistas","2. MEXICALI URBANA morenistas"
"26","2. MEXICALI","02_0381","URBANA","C1",500,500,"morenistas","2. MEXICALI URBANA morenistas"
"27","2. MEXICALI","02_0382","URBANA","B1",683,680,"panistas","2. MEXICALI URBANA panistas"
"28","2. MEXICALI","02_0382","URBANA","C1",683,680,"panistas","2. MEXICALI URBANA panistas"
"29","2. MEXICALI","02_0383","URBANA","B1",715,713,"panistas","2. MEXICALI URBANA panistas"
"30","2. MEXICALI","02_0383","URBANA","C1",715,713,"panistas","2. MEXICALI URBANA panistas"
"31","2. MEXICALI","02_0383","URBANA","C2",714,712,"panistas","2. MEXICALI URBANA panistas"
"32","2. MEXICALI","02_0384","URBANA","B1",700,700,"indefinidos","2. MEXICALI URBANA indefinidos"
"33","2. MEXICALI","02_0384","URBANA","C1",700,700,"indefinidos","2. MEXICALI URBANA indefinidos"
"34","2. MEXICALI","02_0385","URBANA","B1",734,732,"indefinidos","2. MEXICALI URBANA indefinidos"
"35","2. MEXICALI","02_0385","URBANA","C1",734,732,"indefinidos","2. MEXICALI URBANA indefinidos"
"36","2. MEXICALI","02_0386","URBANA","B1",585,583,"indefinidos","2. MEXICALI URBANA indefinidos"
"37","2. MEXICALI","02_0386","URBANA","C1",585,583,"indefinidos","2. MEXICALI URBANA indefinidos"
"38","2. MEXICALI","02_0387","URBANA","B1",409,409,"panistas","2. MEXICALI URBANA panistas"
"39","2. MEXICALI","02_0387","URBANA","C1",409,408,"panistas","2. MEXICALI URBANA panistas"
"40","2. MEXICALI","02_0388","URBANA","B1",634,633,"panistas","2. MEXICALI URBANA panistas"
"41","2. MEXICALI","02_0388","URBANA","C1",633,632,"panistas","2. MEXICALI URBANA panistas"
"42","2. MEXICALI","02_0389","URBANA","B1",460,460,"panistas","2. MEXICALI URBANA panistas"
"43","2. MEXICALI","02_0389","URBANA","C1",460,459,"panistas","2. MEXICALI URBANA panistas"
"44","2. MEXICALI","02_0390","URBANA","B1",683,683,"panistas","2. MEXICALI URBANA panistas"
"45","2. MEXICALI","02_0391","URBANA","B1",700,699,"panistas","2. MEXICALI URBANA panistas"
"46","2. MEXICALI","02_0392","URBANA","B1",534,534,"panistas","2. MEXICALI URBANA panistas"
"47","2. MEXICALI","02_0392","URBANA","C1",534,534,"panistas","2. MEXICALI URBANA panistas"
"48","2. MEXICALI","02_0393","URBANA","B1",520,519,"panistas","2. MEXICALI URBANA panistas"
"49","2. MEXICALI","02_0393","URBANA","C1",519,519,"panistas","2. MEXICALI URBANA panistas"
"50","2. MEXICALI","02_0394","URBANA","B1",440,438,"panistas","2. MEXICALI URBANA panistas"
"51","2. MEXICALI","02_0394","URBANA","C1",439,437,"panistas","2. MEXICALI URBANA panistas"
"52","2. MEXICALI","02_0395","URBANA","B1",609,608,"panistas","2. MEXICALI URBANA panistas"
"53","2. MEXICALI","02_0395","URBANA","C1",608,607,"panistas","2. MEXICALI URBANA panistas"
"54","2. MEXICALI","02_0396","URBANA","B1",501,501,"panistas","2. MEXICALI URBANA panistas"
"55","2. MEXICALI","02_0396","URBANA","C1",501,500,"panistas","2. MEXICALI URBANA panistas"
"56","2. MEXICALI","02_0396","URBANA","C2",501,500,"panistas","2. MEXICALI URBANA panistas"
"57","2. MEXICALI","02_0397","URBANA","B1",484,483,"indefinidos","2. MEXICALI URBANA indefinidos"
"58","2. MEXICALI","02_0397","URBANA","C1",483,482,"indefinidos","2. MEXICALI URBANA indefinidos"
"59","2. MEXICALI","02_0398","URBANA","B1",735,734,"panistas","2. MEXICALI URBANA panistas"
"60","2. MEXICALI","02_0398","URBANA","C1",735,734,"panistas","2. MEXICALI URBANA panistas"
"61","2. MEXICALI","02_0398","URBANA","C2",735,734,"panistas","2. MEXICALI URBANA panistas"
"62","2. MEXICALI","02_0398","URBANA","C3",735,734,"panistas","2. MEXICALI URBANA panistas"
"63","2. MEXICALI","02_0398","URBANA","C4",735,734,"panistas","2. MEXICALI URBANA panistas"
"64","2. MEXICALI","02_0398","URBANA","C5",735,734,"panistas","2. MEXICALI URBANA panistas"
"65","2. MEXICALI","02_0398","URBANA","C6",735,734,"panistas","2. MEXICALI URBANA panistas"
"66","2. MEXICALI","02_0398","URBANA","C7",735,734,"panistas","2. MEXICALI URBANA panistas"
"67","2. MEXICALI","02_0398","URBANA","C8",734,734,"panistas","2. MEXICALI URBANA panistas"
"68","2. MEXICALI","02_0398","URBANA","C9",734,734,"panistas","2. MEXICALI URBANA panistas"
"69","2. MEXICALI","02_0398","URBANA","C10",734,734,"panistas","2. MEXICALI URBANA panistas"
"70","2. MEXICALI","02_0398","URBANA","C11",734,734,"panistas","2. MEXICALI URBANA panistas"
"71","2. MEXICALI","02_0398","URBANA","C12",734,733,"panistas","2. MEXICALI URBANA panistas"
"72","2. MEXICALI","02_0398","URBANA","C13",734,733,"panistas","2. MEXICALI URBANA panistas"
"73","2. MEXICALI","02_0398","URBANA","C14",734,733,"panistas","2. MEXICALI URBANA panistas"
"74","2. MEXICALI","02_0398","URBANA","C15",734,733,"panistas","2. MEXICALI URBANA panistas"
"75","2. MEXICALI","02_0398","URBANA","C16",734,733,"panistas","2. MEXICALI URBANA panistas"
"76","2. MEXICALI","02_0398","URBANA","C17",734,733,"panistas","2. MEXICALI URBANA panistas"
"77","2. MEXICALI","02_0398","URBANA","C18",734,733,"panistas","2. MEXICALI URBANA panistas"
"78","2. MEXICALI","02_0398","URBANA","C19",734,733,"panistas","2. MEXICALI URBANA panistas"
"79","2. MEXICALI","02_0398","URBANA","C20",734,733,"panistas","2. MEXICALI URBANA panistas"
"80","2. MEXICALI","02_0398","URBANA","C21",734,733,"panistas","2. MEXICALI URBANA panistas"
"81","2. MEXICALI","02_0398","URBANA","S1",0,0,"panistas","2. MEXICALI URBANA panistas"
"82","2. MEXICALI","02_0399","URBANA","B1",623,623,"panistas","2. MEXICALI URBANA panistas"
"83","2. MEXICALI","02_0399","URBANA","C1",622,622,"panistas","2. MEXICALI URBANA panistas"
"84","2. MEXICALI","02_0400","URBANA","B1",649,647,"panistas","2. MEXICALI URBANA panistas"
"85","2. MEXICALI","02_0400","URBANA","C1",648,646,"panistas","2. MEXICALI URBANA panistas"
"86","2. MEXICALI","02_0401","URBANA","B1",489,488,"panistas","2. MEXICALI URBANA panistas"
"87","2. MEXICALI","02_0401","URBANA","C1",488,487,"panistas","2. MEXICALI URBANA panistas"
"88","2. MEXICALI","02_0402","URBANA","B1",413,413,"panistas","2. MEXICALI URBANA panistas"
"89","2. MEXICALI","02_0402","URBANA","C1",412,412,"panistas","2. MEXICALI URBANA panistas"
"90","2. MEXICALI","02_0403","URBANA","B1",522,521,"panistas","2. MEXICALI URBANA panistas"
"91","2. MEXICALI","02_0403","URBANA","C1",521,520,"panistas","2. MEXICALI URBANA panistas"
"92","2. MEXICALI","02_0404","URBANA","B1",713,712,"panistas","2. MEXICALI URBANA panistas"
"93","2. MEXICALI","02_0405","URBANA","B1",731,730,"panistas","2. MEXICALI URBANA panistas"
"94","2. MEXICALI","02_0406","URBANA","B1",576,576,"indefinidos","2. MEXICALI URBANA indefinidos"
"95","2. MEXICALI","02_0406","URBANA","C1",575,575,"indefinidos","2. MEXICALI URBANA indefinidos"
"96","2. MEXICALI","02_0407","URBANA","B1",436,436,"panistas","2. MEXICALI URBANA panistas"
"97","2. MEXICALI","02_0407","URBANA","C1",436,435,"panistas","2. MEXICALI URBANA panistas"
"98","2. MEXICALI","02_0408","URBANA","B1",385,384,"indefinidos","2. MEXICALI URBANA indefinidos"
"99","2. MEXICALI","02_0408","URBANA","C1",384,383,"indefinidos","2. MEXICALI URBANA indefinidos"
"100","2. MEXICALI","02_0409","URBANA","B1",611,610,"indefinidos","2. MEXICALI URBANA indefinidos"
"101","2. MEXICALI","02_0409","URBANA","C1",611,610,"indefinidos","2. MEXICALI URBANA indefinidos"
"102","2. MEXICALI","02_0410","URBANA","B1",476,475,"panistas","2. MEXICALI URBANA panistas"
"103","2. MEXICALI","02_0410","URBANA","C1",475,474,"panistas","2. MEXICALI URBANA panistas"
"104","2. MEXICALI","02_0411","URBANA","B1",532,531,"panistas","2. MEXICALI URBANA panistas"
"105","2. MEXICALI","02_0411","URBANA","C1",531,530,"panistas","2. MEXICALI URBANA panistas"
"106","2. MEXICALI","02_0412","URBANA","B1",423,423,"panistas","2. MEXICALI URBANA panistas"
"107","2. MEXICALI","02_0412","URBANA","C1",422,422,"panistas","2. MEXICALI URBANA panistas"
